"Gender:
"," Age:
"," Educational Qualification:
"," Occupation:
","religion 
","Area/locality
"," monthly household income 
"," Will you vote in upcoming elections?
","traditionaly supported
","party/alliance currently in a stronger position ? 
"," If Lok Sabha elections are held tomorrow ,which party will you vote for? 
", most important election issue for you?,issues vs person?,"Voting Priorities?""","MP Satisfaction?""","""MP Performance Rating?""



",current Govt. Satisfaction?,re_elect govt?
male,21 to 30,Postgraduate,Student,Hindu,Urban/Big city,Over Rs. 50001,Yes,party from National Democratic Alliance (ND),BJP,party from National Democratic Alliance (ND),Can't Say,Election issues,The performance the political party,No,Good,Yes,Yes
male,21 to 30,Graduate,Student,Hindu,Urban/Big city,Over Rs. 50001,Yes,Congress,BJP,Congress,Price rise /inflation,political leader's face/personality,The performance of the candidate/MP.,No,Poor,Yes,Yes
Female,46 to 60,Secondary School/Matric,Self-employed,Christian,Urban/Small city,"Rs. 20,000 to Rs. 50,000",Yes,party from National Democratic Alliance (ND),Indian National Developmental Inclusive Alliance (INDIA),party from Indian National Developmental Inclusive Alliance (INDIA),Unemployment,Election issues,The performance of the Prime Minister,No Response,Good,Yes,No
Female,61 to 75,Non-Literate,Farmer,Islam,Rural/Village,"Rs. 10,001 - Rs. 20,000",Yes,party from National Democratic Alliance (ND),BJP,party from National Democratic Alliance (ND),Farmer distress,political leader's face/personality,The performance of the candidate/MP.,No,Very poor,No,No
Female,21 to 30,Postgraduate,Employed (Govt.),No Response,Urban/Big city,"Rs. 20,000 to Rs. 50,000",No,BJP,BJP,BJP,Unemployment,No Response,The performance of the Prime Minister,Yes,Good,Yes,Yes
male,18 to 20,Secondary School/Matric,Student,Buddhist,Urban/Small city,"Rs. 20,000 to Rs. 50,000",Yes,party from National Democratic Alliance (ND),BJP,Aam Aadmi Party,"Discrimination against women, Crimes against women",Other,The performance of the candidate/MP.,Yes,Good,Yes,Yes
Female,21 to 30,Graduate,Other,Hindu,Urban/Big city,Over Rs. 50001,Yes,party from Indian National Developmental Inclusive Alliance (INDIA),Indian National Developmental Inclusive Alliance (INDIA),party from Indian National Developmental Inclusive Alliance (INDIA),Poor economic growth,Other,The performance of the candidate/MP.,No,Very poor,No,No
male,21 to 30,Graduate,Student,Hindu,Urban/Small city,Over Rs. 50001,Yes,BJP,National Democratic Alliance (NDA),BJP,Uniform Civil Code,Election issues,The performance the political party,Yes,Good,Yes,Yes
male,46 to 60,Higher Secondary/Intermediate,Self-employed,Islam,Rural/Village,"Rs. 20,000 to Rs. 50,000",Yes,party from Indian National Developmental Inclusive Alliance (INDIA),National Democratic Alliance (NDA),party from National Democratic Alliance (ND),Lack of good governance,Election issues,The performance of the candidate/MP.,No,Poor,Yes,Yes
Female,31 to 45,Graduate,Homemaker,Hindu,Urban/Small city,Over Rs. 50001,Yes,party from National Democratic Alliance (ND),National Democratic Alliance (NDA),party from National Democratic Alliance (ND),"Discrimination against women, Crimes against women",Election issues,The performance the political party,No,No Response,Yes,Yes
